Demeter,ID,ID,ID,,,,Line,,Notes by AR,Notes by DK
Darren,Demeter_,84,Demeter_0084,,,,"The Horn of Plenty which you bear once overflowed. It holds a certain power still, of course. But never again shall mortalkind take it for granted.",,,
Integrated,Demeter_,123,Demeter_0123,,,,Beware of winter's cold!,,,
Integrated,Demeter_,124,Demeter_0124,,,,A wasteland void of life!,,,Special Render
Integrated,Demeter_,125,Demeter_0125,,,,All shall soon decay!,,,Special Render
Integrated,Demeter_,126,Demeter_0126,,,,Freeze to death!,,,Special Render
Integrated,Demeter_,127,Demeter_0127,,,,I shall take everything away!,,,Special Render
Integrated,Demeter_,128,Demeter_0128,,,,They shall have nothing!,,,Special Render
Integrated,Demeter_,129,Demeter_0129,,,,No comfort from the bitter cold!,,,Special Render
Integrated,Demeter_,130,Demeter_0130,,,,You beg my favor now?!,,,Special Render
Integrated,Demeter_,131,Demeter_0131,,,,The limitless audacity of youth!,,,Special Render
Integrated,Demeter_,132,Demeter_0132,,,,"Shiver and rot, for all I care!",,,Special Render
Integrated,Demeter_,133,Demeter_0133,,,,I have no tolerance for disrespect.,,,
Integrated,Demeter_,134,Demeter_0134,,,,"I warned you not to side against me, little sprout.",,,
Integrated,Demeter_,135,Demeter_0135,,,,"Respect your elders next time, Zagreus.",,,
Darren,Demeter_,136,Demeter_0136,,,,"Why, it appears you wield Varatha's form known as the Frost Fair Blade! So then it's travelled that much farther than I thought. Make swift use of its power, Zagreus; it may soon leave you as the seasons do.",,,
Integrated,Demeter_,163,Demeter_0163,,,,"My greetings to you, little sprout.",,,
Integrated,Demeter_,164,Demeter_0164,,,,"I greet you, Zagreus.",,,
Integrated,Demeter_,165,Demeter_0165,,,,"Hello, young Zagreus.",,,
Darren,Demeter_,166,Demeter_0166,,,,"You staying warm of late, young Zagreus?",,,
Integrated,Demeter_,167,Demeter_0167,,,,"A winter's greeting to you, Zagreus.",,,
Darren,Demeter_,168,Demeter_0168,,,,It shall be so.,,,
Darren,Demeter_,169,Demeter_0169,,,,"That's not a problem, little sprout.",,,
Darren,Demeter_,170,Demeter_0170,,,,Oh very well.,,,
Integrated,Demeter_,171,Demeter_0171,,,,"Ah yes, indeed.",,,
Darren,Demeter_,172,Demeter_0172,,,,"Then, very well.",,,
Integrated,Demeter_,173,Demeter_0173,,,,"I'm grateful, Zagreus.",,,
Integrated,Demeter_,174,Demeter_0174,,,,You have my gratitude.,,,
Integrated,Demeter_,175,Demeter_0175,,,,"How thoughtful, Zagreus.",,,
Integrated,Demeter_,176,Demeter_0176,,,,"Why thank you, little sprout.",,,
Darren,Demeter_,177,Demeter_0177,,,,"I've something for you, little sprout.",,,
Darren,Demeter_,178,Demeter_0178,,,,"I have a gift for you, young Zagreus.",,,
Darren,Demeter_,179,Demeter_0179,,,,A simple oversight is all it was.,,,
Darren,Demeter_,180,Demeter_0180,,,,"That was most certainly in error, Zagreus.",,,
Darren,Demeter_,181,Demeter_0181,,,,"Poor judgment, little sprout.",,,
Darren,Demeter_,182,Demeter_0182,,,,"You oughtn't test my patience, little sprout.",,,
Darren,Demeter_,183,Demeter_0183,,,,That was an eminently foolish choice.,,,
Darren,Demeter_,184,Demeter_0184,,,,So now you've angered me.,,,
Darren,Demeter_,185,Demeter_0185,,,,"Begone, young Zagreus.",,,
Darren,Demeter_,186,Demeter_0186,,,,"Not interested, little sprout.",,,
Integrated,Demeter_,187,Demeter_0187,,,,What's this?,,,
Darren,Demeter_,188,Demeter_0188,,,,I scarce believe this.,,,
Integrated,Demeter_,189,Demeter_0189,,,,Oh truly?,,,
Integrated,Demeter_,190,Demeter_0190,,,,"Well done, my little sprout.",,,
Darren,Demeter_,191,Demeter_0191,,,,"I'm very proud of you, young Zagreus.",,,
Darren,Demeter_,192,Demeter_0192,,,,This cannot be.,,,
Darren,Demeter_,193,Demeter_0193,,,,"How, what is going on?",,,
Darren,Demeter_,194,Demeter_0194,,,,"I'm speechless, Zagreus!",,,
Darren,Demeter_,195,Demeter_0195,,,,,,,
Integrated,Demeter_,196,Demeter_0196,,,,,,,
Integrated,Demeter_,197,Demeter_0197,,,,,,,
Integrated,Demeter_,198,Demeter_0198,,,,,,,
Integrated,Demeter_,199,Demeter_0199,,,,,,,
Darren,Demeter_,200,Demeter_0200,,,,,,,
Integrated,Demeter_,201,Demeter_0201,,,,,,,
Integrated,Demeter_,202,Demeter_0202,,,,,,,
Integrated,Demeter_,203,Demeter_0203,,,,,,,
Integrated,Demeter_,204,Demeter_0204,,,,,,,
Integrated,Demeter_,205,Demeter_0205,,,,,,,
Integrated,Demeter_,206,Demeter_0206,,,,,,,
Integrated,Demeter_,207,Demeter_0207,,,,,,,
Integrated,Demeter_,208,Demeter_0208,,,,,,,
Integrated,Demeter_,209,Demeter_0209,,,,,,,
Integrated,Demeter_,210,Demeter_0210,,,,,,,
Integrated,Demeter_,211,Demeter_0211,,,,,,,
Integrated,Demeter_,212,Demeter_0212,,,,,,,
Darren,Demeter_,213,Demeter_0213,,,,,,,
Integrated,Demeter_,214,Demeter_0214,,,,,,,
Integrated,Demeter_,215,Demeter_0215,,,,,,,
Darren,Demeter_,216,Demeter_0216,,,,,,,
Darren,Demeter_,217,Demeter_0217,,,,,,,
Darren,Demeter_,218,Demeter_0218,,,,,,,
Darren,Demeter_,219,Demeter_0219,,,,,,,
Darren,Demeter_,220,Demeter_0220,,,,,,,
Darren,Demeter_,221,Demeter_0221,,,,,,,
Integrated,Demeter_,222,Demeter_0222,,,,,,,
Integrated,Demeter_,223,Demeter_0223,,,,,,,
Integrated,Demeter_,224,Demeter_0224,,,,,,,
Integrated,Demeter_,225,Demeter_0225,,,,,,,
Integrated,Demeter_,226,Demeter_0226,,,,,,,
Integrated,Demeter_,227,Demeter_0227,,,,,,,
Integrated,Demeter_,228,Demeter_0228,,,,,,,
Integrated,Demeter_,229,Demeter_0229,,,,,,,
Greg,Demeter_,230,Demeter_0230,,,,Winter's Harvest!,,,
Integrated,Demeter_,231,Demeter_0231,,,,Reap what you sow!,,,
Integrated,Demeter_,232,Demeter_0232,,,,Wither and die!,,,
Integrated,Demeter_,233,Demeter_0233,,,,Ripe for harvest!,,,
Greg,Demeter_,234,Demeter_0234,,,,,,,
Greg,Demeter_,235,Demeter_0235,,,,,,,
Greg,Demeter_,236,Demeter_0236,,,,,,,
Greg,Demeter_,237,Demeter_0237,,,,,,,
Greg,Demeter_,238,Demeter_0238,,,,,,,
Greg,Demeter_,239,Demeter_0239,,,,,,,
Greg,Demeter_,240,Demeter_0240,,,,,,,
Greg,Demeter_,241,Demeter_0241,,,,,,,
Greg,Demeter_,242,Demeter_0242,,,,,,,
Greg,Demeter_,243,Demeter_0243,,,,,,,
Greg,Demeter_,244,Demeter_0244,,,,,,,
Greg,Demeter_,245,Demeter_0245,,,,,,,
Greg,Demeter_,246,Demeter_0246,,,,,,,
Greg,Demeter_,247,Demeter_0247,,,,,,,
Greg,Demeter_,248,Demeter_0248,,,,,,,
Greg,Demeter_,249,Demeter_0249,,,,,,,
Greg,Demeter_,250,Demeter_0250,,,,,,,
Greg,Demeter_,251,Demeter_0251,,,,,,,
Greg,Demeter_,252,Demeter_0252,,,,,,,
Greg,Demeter_,253,Demeter_0253,,,,,,,
Greg,Demeter_,254,Demeter_0254,,,,,,,
Greg,Demeter_,255,Demeter_0255,,,,,,,
Greg,Demeter_,256,Demeter_0256,,,,,,,
Greg,Demeter_,257,Demeter_0257,,,,,,,
Greg,Demeter_,258,Demeter_0258,,,,,,,
Greg,Demeter_,259,Demeter_0259,,,,,,,
Greg,Demeter_,260,Demeter_0260,,,,,,,
Greg,Demeter_,261,Demeter_0261,,,,,,,
Greg,Demeter_,262,Demeter_0262,,,,,,,
Greg,Demeter_,263,Demeter_0263,,,,,,,
Greg,Demeter_,264,Demeter_0264,,,,,,,
Greg,Demeter_,265,Demeter_0265,,,,,,,
Greg,Demeter_,266,Demeter_0266,,,,,,,
Greg,Demeter_,267,Demeter_0267,,,,,,,
Greg,Demeter_,268,Demeter_0268,,,,,,,
Greg,Demeter_,269,Demeter_0269,,,,,,,
Greg,Demeter_,270,Demeter_0270,,,,,,,
Greg,Demeter_,271,Demeter_0271,,,,,,,
Greg,Demeter_,272,Demeter_0272,,,,,,,
Greg,Demeter_,273,Demeter_0273,,,,,,,
Greg,Demeter_,274,Demeter_0274,,,,,,,
Greg,Demeter_,275,Demeter_0275,,,,,,,
Greg,Demeter_,276,Demeter_0276,,,,,,,
Greg,Demeter_,277,Demeter_0277,,,,,,,
Greg,Demeter_,278,Demeter_0278,,,,,,,
Greg,Demeter_,279,Demeter_0279,,,,,,,
Greg,Demeter_,280,Demeter_0280,,,,,,,
Greg,Demeter_,281,Demeter_0281,,,,,,,
Greg,Demeter_,282,Demeter_0282,,,,,,,
Greg,Demeter_,283,Demeter_0283,,,,,,,
Greg,Demeter_,284,Demeter_0284,,,,,,,
Greg,Demeter_,285,Demeter_0285,,,,,,,
Greg,Demeter_,286,Demeter_0286,,,,,,,
Greg,Demeter_,287,Demeter_0287,,,,,,,
Greg,Demeter_,288,Demeter_0288,,,,,,,
Greg,Demeter_,289,Demeter_0289,,,,,,,
Greg,Demeter_,290,Demeter_0290,,,,,,,
Greg,Demeter_,291,Demeter_0291,,,,,,,
Greg,Demeter_,292,Demeter_0292,,,,,,,
Greg,Demeter_,293,Demeter_0293,,,,,,,
Greg,Demeter_,294,Demeter_0294,,,,,,,
Greg,Demeter_,295,Demeter_0295,,,,,,,
Greg,Demeter_,296,Demeter_0296,,,,,,,
Greg,Demeter_,297,Demeter_0297,,,,,,,
Greg,Demeter_,298,Demeter_0298,,,,,,,
Greg,Demeter_,299,Demeter_0299,,,,,,,
Greg,Demeter_,300,Demeter_0300,,,,,,,
Greg,Demeter_,301,Demeter_0301,,,,,,,
Greg,Demeter_,302,Demeter_0302,,,,,,,
Greg,Demeter_,303,Demeter_0303,,,,,,,
Greg,Demeter_,304,Demeter_0304,,,,,,,
Greg,Demeter_,305,Demeter_0305,,,,,,,
Greg,Demeter_,306,Demeter_0306,,,,,,,
Greg,Demeter_,307,Demeter_0307,,,,,,,
Greg,Demeter_,308,Demeter_0308,,,,,,,
Greg,Demeter_,309,Demeter_0309,,,,,,,
Greg,Demeter_,310,Demeter_0310,,,,,,,
Greg,Demeter_,311,Demeter_0311,,,,,,,
Greg,Demeter_,312,Demeter_0312,,,,,,,
Greg,Demeter_,313,Demeter_0313,,,,,,,
Greg,Demeter_,314,Demeter_0314,,,,,,,
Greg,Demeter_,315,Demeter_0315,,,,,,,
Greg,Demeter_,316,Demeter_0316,,,,,,,
Greg,Demeter_,317,Demeter_0317,,,,,,,
Greg,Demeter_,318,Demeter_0318,,,,,,,
Greg,Demeter_,319,Demeter_0319,,,,,,,
Greg,Demeter_,320,Demeter_0320,,,,,,,
Greg,Demeter_,321,Demeter_0321,,,,,,,
Greg,Demeter_,322,Demeter_0322,,,,,,,
Greg,Demeter_,323,Demeter_0323,,,,,,,
Greg,Demeter_,324,Demeter_0324,,,,,,,
Greg,Demeter_,325,Demeter_0325,,,,,,,
Greg,Demeter_,326,Demeter_0326,,,,,,,
Greg,Demeter_,327,Demeter_0327,,,,,,,
Greg,Demeter_,328,Demeter_0328,,,,,,,
Greg,Demeter_,329,Demeter_0329,,,,,,,
Greg,Demeter_,330,Demeter_0330,,,,,,,
Greg,Demeter_,331,Demeter_0331,,,,,,,
Greg,Demeter_,332,Demeter_0332,,,,,,,
Greg,Demeter_,333,Demeter_0333,,,,,,,
Greg,Demeter_,334,Demeter_0334,,,,,,,
Greg,Demeter_,335,Demeter_0335,,,,,,,
Greg,Demeter_,336,Demeter_0336,,,,,,,
Greg,Demeter_,337,Demeter_0337,,,,,,,
Greg,Demeter_,338,Demeter_0338,,,,,,,
Greg,Demeter_,339,Demeter_0339,,,,,,,
Greg,Demeter_,340,Demeter_0340,,,,,,,
Greg,Demeter_,341,Demeter_0341,,,,,,,
Greg,Demeter_,342,Demeter_0342,,,,,,,
Greg,Demeter_,343,Demeter_0343,,,,,,,
Greg,Demeter_,344,Demeter_0344,,,,,,,
Greg,Demeter_,345,Demeter_0345,,,,,,,
Greg,Demeter_,346,Demeter_0346,,,,,,,
Greg,Demeter_,347,Demeter_0347,,,,,,,
Greg,Demeter_,348,Demeter_0348,,,,,,,
Greg,Demeter_,349,Demeter_0349,,,,,,,
Greg,Demeter_,350,Demeter_0350,,,,,,,
Greg,Demeter_,351,Demeter_0351,,,,,,,
Greg,Demeter_,352,Demeter_0352,,,,,,,
Greg,Demeter_,353,Demeter_0353,,,,,,,
Greg,Demeter_,354,Demeter_0354,,,,,,,
Greg,Demeter_,355,Demeter_0355,,,,,,,
Greg,Demeter_,356,Demeter_0356,,,,,,,
Greg,Demeter_,357,Demeter_0357,,,,,,,
Greg,Demeter_,358,Demeter_0358,,,,,,,
Greg,Demeter_,359,Demeter_0359,,,,,,,
Greg,Demeter_,360,Demeter_0360,,,,,,,
Greg,Demeter_,361,Demeter_0361,,,,,,,
Greg,Demeter_,362,Demeter_0362,,,,,,,
Greg,Demeter_,363,Demeter_0363,,,,,,,
Greg,Demeter_,364,Demeter_0364,,,,,,,
